Article Type MAP,Article Type NDCG,Color Type MAP,Color Type NDCG,Color and Article Type MAP,Color and Article Type NDCG,model
0.6602830209606672,0.5887626262626263,0.47073590951015604,0.4017385392385393,0.26237221313393655,0.2187160062160062,"Baseline ORB B:16, H:5"
0.6006972882784665,0.5378885003885003,0.4790825138335372,0.40736208236208243,0.27207987205771633,0.23368298368298365,"SIFT Opponent Color Spaces B:32, H:6"
0.7229985340857678,0.6540306915306916,0.5252831397753637,0.44529914529914527,0.31659004443860744,0.2722902097902098,"Multi Channel ORB B:16, H:5"
0.7458254649309073,0.6682886557886558,0.5209550037111489,0.44788267288267286,0.34543337450691824,0.2947746697746697,"Multi Channel ORB B:32, H:6"
0.7814138543832286,0.7329642579642579,0.4454721684972211,0.38596542346542345,0.33607276126167324,0.2982323232323232,"ORB + Resnet B:16, H:5"
0.7662836562778557,0.7206779331779332,0.45104309657382974,0.38687839937839935,0.3272233900464884,0.2807012432012432,"ORB + Resnet B:32, H:6"
0.8815028500441975,0.8401029526029528,0.5169407723676681,0.4457944832944833,0.44583342511429125,0.37973970473970475,"SuperPoint B:16, H:5"
0.8852902645465459,0.8491064491064493,0.4927895914185461,0.41823038073038077,0.4334880296565093,0.3732031857031857,"SuperPoint B:16, H:6"
0.8638473876566651,0.8264957264957264,0.4992949368001806,0.42413558663558665,0.4407802886685073,0.3777000777000777,"SuperPoint B:32, H:5"
0.887303705376139,0.856361693861694,0.502692108812388,0.4238733488733489,0.4259101370666012,0.3667346542346543,"SuperPoint B:32, H:6"
